"year";"age";"qx";"lx";"dx";"ex"
1841;0;0,13799;1e+05;13799;40,33
1841;1;0,07221;86201;6225;45,73
1841;2;0,04085;79976;3267;48,25
1841;3;0,02514;76708;1928;49,29
1841;4;0,01831;74780;1370;49,54
1841;5;0,01382;73411;1015;49,46
1841;6;0,01274;72396;923;49,15
1841;7;0,01088;71473;777;48,77
1841;8;0,00877;70696;620;48,3
1841;9;0,00811;70076;568;47,73
1841;10;0,00737;69508;512;47,11
1841;11;0,00674;68995;465;46,46
1841;12;0,00648;68531;444;45,77
1841;13;0,00687;68086;468;45,07
1841;14;0,00744;67618;503;44,38
1841;15;0,00814;67115;546;43,7
1841;16;0,00879;66569;585;43,06
1841;17;0,00905;65984;597;42,44
1841;18;0,00919;65386;601;41,82
1841;19;0,00918;64785;595;41,2
1841;20;0,00916;64191;588;40,58
1841;21;0,0092;63603;585;39,95
1841;22;0,00934;63018;589;39,32
1841;23;0,00985;62429;615;38,68
1841;24;0,00932;61814;576;38,06
1841;25;0,00941;61238;576;37,42
1841;26;0,0102;60662;619;36,77
1841;27;0,0101;60043;606;36,14
1841;28;0,01042;59437;619;35,5
1841;29;0,01035;58818;609;34,87
1841;30;0,01004;58209;585;34,23
1841;31;0,01048;57624;604;33,57
1841;32;0,01083;57020;618;32,92
1841;33;0,01102;56403;621;32,28
1841;34;0,01052;55781;587;31,63
1841;35;0,01103;55195;609;30,96
1841;36;0,01256;54586;686;30,3
1841;37;0,01284;53900;692;29,68
1841;38;0,01333;53208;709;29,06
1841;39;0,01298;52498;681;28,45
1841;40;0,01267;51817;656;27,82
1841;41;0,0136;51161;696;27,17
1841;42;0,01432;50465;723;26,53
1841;43;0,01418;49742;705;25,91
1841;44;0,01268;49037;622;25,28
1841;45;0,01246;48415;603;24,6
1841;46;0,01399;47812;669;23,9
1841;47;0,01399;47143;660;23,23
1841;48;0,01429;46484;664;22,56
1841;49;0,0145;45820;664;21,87
1841;50;0,0152;45155;687;21,19
1841;51;0,01712;44469;761;20,51
1841;52;0,01875;43708;819;19,86
1841;53;0,01937;42888;831;19,23
1841;54;0,01717;42058;722;18,6
1841;55;0,01687;41336;697;17,91
1841;56;0,01994;40638;810;17,21
1841;57;0,02084;39828;830;16,55
1841;58;0,02199;38998;858;15,89
1841;59;0,02328;38140;888;15,24
1841;60;0,02527;37253;941;14,59
1841;61;0,02901;36311;1053;13,96
1841;62;0,03349;35258;1181;13,36
1841;63;0,03638;34077;1240;12,8
1841;64;0,03555;32837;1167;12,27
1841;65;0,03824;31670;1211;11,7
1841;66;0,04532;30459;1381;11,15
1841;67;0,0472;29079;1372;10,65
1841;68;0,05092;27706;1411;10,16
1841;69;0,05413;26295;1423;9,67
1841;70;0,05787;24872;1439;9,2
1841;71;0,06473;23432;1517;8,73
1841;72;0,07093;21916;1554;8,3
1841;73;0,07673;20361;1562;7,9
1841;74;0,07736;18799;1454;7,51
1841;75;0,08196;17344;1422;7,1
1841;76;0,09539;15923;1519;6,69
1841;77;0,10079;14404;1452;6,34
1841;78;0,10577;12952;1370;6
1841;79;0,11117;11582;1288;5,65
1841;80;0,12685;10295;1306;5,29
1841;81;0,13832;8989;1243;4,99
1841;82;0,15039;7745;1165;4,71
1841;83;0,16281;6581;1071;4,45
1841;84;0,17495;5509;964;4,22
1841;85;0,18627;4545;847;4,01
1841;86;0,19769;3699;731;3,82
1841;87;0,20977;2968;623;3,63
1841;88;0,22222;2345;521;3,47
1841;89;0,22937;1824;418;3,31
1841;90;0,24222;1406;340;3,15
1841;91;0,25536;1065;272;3
1841;92;0,26877;793;213;2,86
1841;93;0,28239;580;164;2,72
1841;94;0,2962;416;123;2,6
1841;95;0,31013;293;91;2,48
1841;96;0,32415;202;66;2,37
1841;97;0,3382;137;46;2,27
1841;98;0,35223;90;32;2,18
1841;99;0,36619;59;21;2,09
1841;100;0,38004;37;14;2,01
1841;101;0,39372;23;9;1,93
1841;102;0,4072;14;6;1,86
1841;103;0,42043;8;3;1,8
1841;104;0,43337;5;2;1,73
1841;105;0,44599;3;1;1,68
1841;106;0,45825;2;1;1,63
1841;107;0,47014;1;0;1,58
1841;108;0,48162;0;0;1,54
1841;109;0,49267;0;0;1,51
1841;110;1;0;0;1,49
1842;0;0,14502;1e+05;14502;38,51
1842;1;0,08149;85498;6967;43,99
1842;2;0,04319;78532;3392;46,85
1842;3;0,02899;75140;2178;47,94
1842;4;0,0217;72961;1583;48,35
1842;5;0,01568;71379;1119;48,42
1842;6;0,01355;70260;952;48,18
1842;7;0,01199;69307;831;47,83
1842;8;0,01055;68476;723;47,41
1842;9;0,01004;67753;680;46,91
1842;10;0,00902;67073;605;46,38
1842;11;0,00821;66468;545;45,8
1842;12;0,00775;65923;511;45,17
1842;13;0,0077;65412;503;44,52
1842;14;0,00837;64909;543;43,86
1842;15;0,00908;64366;584;43,23
1842;16;0,00942;63781;601;42,62
1842;17;0,00969;63181;612;42,02
1842;18;0,00959;62569;600;41,43
1842;19;0,00943;61969;584;40,82
1842;20;0,00921;61384;565;40,21
1842;21;0,00927;60819;564;39,57
1842;22;0,00946;60255;570;38,94
1842;23;0,00974;59685;581;38,31
1842;24;0,01038;59104;614;37,68
1842;25;0,00987;58490;577;37,07
1842;26;0,00992;57913;575;36,43
1842;27;0,01072;57338;615;35,79
1842;28;0,01059;56724;601;35,18
1842;29;0,01095;56123;615;34,55
1842;30;0,01093;55508;606;33,92
1842;31;0,01063;54902;583;33,29
1842;32;0,01108;54318;602;32,65
1842;33;0,0114;53717;612;32,01
1842;34;0,01148;53105;610;31,37
1842;35;0,01085;52495;569;30,73
1842;36;0,01136;51925;590;30,06
1842;37;0,01302;51335;668;29,4
1842;38;0,01346;50667;682;28,78
1842;39;0,01419;49985;709;28,17
1842;40;0,01399;49276;689;27,56
1842;41;0,0135;48587;656;26,95
1842;42;0,01422;47931;681;26,31
1842;43;0,0146;47249;690;25,68
1842;44;0,01398;46559;651;25,06
1842;45;0,01206;45909;554;24,4
1842;46;0,0119;45355;540;23,7
1842;47;0,01368;44815;613;22,97
1842;48;0,01407;44202;622;22,29
1842;49;0,01484;43580;647;21,6
1842;50;0,01542;42933;662;20,92
1842;51;0,016;42271;676;20,24
1842;52;0,01781;41595;741;19,56
1842;53;0,0194;40854;793;18,9
1842;54;0,02005;40061;803;18,27
1842;55;0,01795;39258;705;17,63
1842;56;0,01845;38553;711;16,94
1842;57;0,02289;37842;866;16,25
1842;58;0,02474;36976;915;15,62
1842;59;0,02663;36061;960;15
1842;60;0,02818;35101;989;14,4
1842;61;0,02966;34112;1012;13,8
1842;62;0,03305;33100;1094;13,21
1842;63;0,03725;32006;1192;12,64
1842;64;0,03959;30814;1220;12,11
1842;65;0,03794;29594;1123;11,59
1842;66;0,04096;28471;1166;11,03
1842;67;0,04907;27305;1340;10,48
1842;68;0,05121;25965;1330;10
1842;69;0,05532;24635;1363;9,51
1842;70;0,0585;23272;1362;9,04
1842;71;0,06149;21911;1347;8,57
1842;72;0,06817;20564;1402;8,09
1842;73;0,07466;19162;1431;7,65
1842;74;0,08137;17731;1443;7,23
1842;75;0,08294;16288;1351;6,82
1842;76;0,09009;14937;1346;6,39
1842;77;0,10825;13592;1471;5,98
1842;78;0,11636;12120;1410;5,64
1842;79;0,12331;10710;1321;5,32
1842;80;0,13659;9389;1282;5
1842;81;0,1491;8107;1209;4,71
1842;82;0,16215;6898;1119;4,45
1842;83;0,17534;5780;1013;4,21
1842;84;0,1879;4766;896;4
1842;85;0,19905;3871;770;3,81
1842;86;0,20989;3100;651;3,63
1842;87;0,22083;2450;541;3,47
1842;88;0,23158;1909;442;3,31
1842;89;0,24243;1467;356;3,15
1842;90;0,25547;1111;284;3
1842;91;0,26878;827;222;2,86
1842;92;0,2823;605;171;2,73
1842;93;0,29599;434;128;2,6
1842;94;0,30982;306;95;2,49
